feature,importance
k__Bacteria,0.0037975628955511
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,0.0030477233298269
k__Bacteria|p__Firmicutes|c__Clostridia,0.0025311670900919
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,0.0025145607352466
k__Bacteria|p__Firmicutes,0.0019577778875357
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,0.001946873555443
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.001911248453127
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,0.0016920955491142
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,0.0014700231884228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,0.0013330588432792
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,0.0012804017607338
k__Bacteria|p__Bacteroidetes,0.0012608054748165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,0.001156919895628
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,0.0009850542312344
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.0009365688336632
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.0008419816026413
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,0.000841047237198
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,0.0008170188511666
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Collinsella_massiliensis,0.0007953812629829
k__Bacteria|p__Actinobacteria|c__Coriobacteriia,0.0007730563596431
