model,condition,fold_idx,accuracy,auc
Decision Tree,Full,1,0.593103448275862,0.5439643942683456
Decision Tree,Full,2,0.7034482758620689,0.631133304385584
Decision Tree,Full,3,0.6827586206896552,0.6601172383847155
Decision Tree,Full,4,0.696551724137931,0.6371037776812853
Decision Tree,Full,5,0.7013888888888888,0.6594942324755989
Random Forest,Full,1,0.7517241379310344,0.7665002171081199
Random Forest,Full,2,0.7379310344827587,0.776704298740773
Random Forest,Full,3,0.7862068965517242,0.7914676508901433
Random Forest,Full,4,0.7517241379310344,0.8164350846721669
Random Forest,Full,5,0.7361111111111112,0.7938110026619344
XGBoost,Full,1,0.7241379310344828,0.7952670429874077
XGBoost,Full,2,0.7103448275862069,0.7894051237516283
XGBoost,Full,3,0.7379310344827587,0.7555362570560139
XGBoost,Full,4,0.7241379310344828,0.7509769865392966
XGBoost,Full,5,0.7291666666666666,0.761756876663709
Decision Tree,No-Constipation,1,0.6689655172413793,0.627768128528007
Decision Tree,No-Constipation,2,0.6482758620689655,0.5737082066869301
Decision Tree,No-Constipation,3,0.6551724137931034,0.6064915327833261
Decision Tree,No-Constipation,4,0.6344827586206897,0.5801128962223187
Decision Tree,No-Constipation,5,0.625,0.5629991126885536
Random Forest,No-Constipation,1,0.7379310344827587,0.7606382978723404
Random Forest,No-Constipation,2,0.7517241379310344,0.776595744680851
Random Forest,No-Constipation,3,0.7517241379310344,0.7597698653929658
Random Forest,No-Constipation,4,0.7103448275862069,0.7642205818497613
Random Forest,No-Constipation,5,0.7430555555555556,0.7869343389529725
XGBoost,No-Constipation,1,0.696551724137931,0.7661745549283543
XGBoost,No-Constipation,2,0.7103448275862069,0.7310030395136777
XGBoost,No-Constipation,3,0.7241379310344828,0.7653061224489797
XGBoost,No-Constipation,4,0.7034482758620689,0.7435953104646114
XGBoost,No-Constipation,5,0.6944444444444444,0.764418811002662
Decision Tree,Microbiome-Only,1,0.6689655172413793,0.6499131567520625
Decision Tree,Microbiome-Only,2,0.6620689655172414,0.5839122883195832
Decision Tree,Microbiome-Only,3,0.6620689655172414,0.6448111159357359
Decision Tree,Microbiome-Only,4,0.6206896551724138,0.5366912722535823
Decision Tree,Microbiome-Only,5,0.5972222222222222,0.5425909494232475
Random Forest,Microbiome-Only,1,0.7241379310344828,0.6978940512375162
Random Forest,Microbiome-Only,2,0.7310344827586207,0.7086409031697785
Random Forest,Microbiome-Only,3,0.7034482758620689,0.7305688232739905
Random Forest,Microbiome-Only,4,0.7034482758620689,0.7324142422926617
Random Forest,Microbiome-Only,5,0.6805555555555556,0.7464507542147294
XGBoost,Microbiome-Only,1,0.6551724137931034,0.724706904038211
XGBoost,Microbiome-Only,2,0.7103448275862069,0.7236213634389926
XGBoost,Microbiome-Only,3,0.6344827586206897,0.6526270082501086
XGBoost,Microbiome-Only,4,0.6344827586206897,0.6556665219279202
XGBoost,Microbiome-Only,5,0.6666666666666666,0.6892191659272404
