feature,importance
PWY-7199: pyrimidine deoxyribonucleosides salvage,0.26470062425102714
Constipation_Y,0.11148152302078801
K06166: alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37],0.04985758380046682
K01361: lactocepin [EC:3.4.21.96],0.03951649433320371
K06390: stage III sporulation protein AA,0.038149602648017686
K00864: glycerol kinase [EC:2.7.1.30],0.037874550239716136
k__Bacteria,0.0366436478595657
K02747: N-acetylgalactosamine PTS system EIID component,0.033395798505274396
"K15727: membrane fusion protein, heavy metal efflux system",0.029258959192531978
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,0.026462950300750368
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.02610067149414423
K07334: toxin HigB-1,0.025782532478900125
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes),0.024894963776495273
k__Bacteria|p__Firmicutes,0.021781274102346395
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus,0.020966504730248307
"K07670: two-component system, OmpR family, response regulator MtrA",0.020228089731584693
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",0.01978704988202279
K04484: DNA repair protein RadB,0.017435719627566234
PWY-7663: gondoate biosynthesis (anaerobic),0.01676914477361671
K20490: lantibiotic transport system ATP-binding protein,0.016260162601626115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus,0.015888778550149255
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0.013286870457882127
K15913: UDP-N-acetylbacillosamine N-acetyltransferase [EC:2.3.1.203],0.012331459365234098
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae,0.011030478955007368
K00690: sucrose phosphorylase [EC:2.4.1.7],0.010582010582010672
K02056: simple sugar transport system ATP-binding protein [EC:7.5.2.-],0.01046298718284077
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales,0.008453085376162484
K00561: 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184],0.00831595034205367
K01046: triacylglycerol lipase [EC:3.1.1.3],0.00675379665588218
K19972: manganese/zinc transport system permease protein,0.0065715217336779035
"K19337: RpiR family transcriptional regulator, carbohydrate utilization regulator",0.006513757327378744
k__Bacteria|p__Fusobacteria,0.0063545858928193795
"K01119: 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]",0.006106870229007699
K00930: acetylglutamate kinase [EC:2.7.2.8],3.891276739775332e-16
K03925: MraZ protein,1.201825584412717e-16
K16850: altronate dehydratase large subunit [EC:4.2.1.7],1.1725127652807004e-16
K12661: L-rhamnonate dehydratase [EC:4.2.1.90],8.903768811350319e-17
K08996: putative membrane protein,6.265615089468745e-17
K02437: glycine cleavage system H protein,5.899204850318524e-17
"K01358: ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",4.4702049176326705e-17
K00951: GTP pyrophosphokinase [EC:2.7.6.5],1.5139404881252226e-17
K06447: succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71],7.569702440626113e-18
K12191: charged multivesicular body protein 2A,0.0
K12193: charged multivesicular body protein 3,0.0
K12195: charged multivesicular body protein 6,0.0
K12190: ESCRT-II complex subunit VPS36,0.0
K12196: vacuolar protein-sorting-associated protein 4,0.0
K12197: charged multivesicular body protein 1,0.0
K12189: ESCRT-II complex subunit VPS25,0.0
K12264: anaerobic nitric oxide reductase flavorubredoxin,0.0
K12187: ESCRT-I complex subunit MVB12,0.0
K12184: ESCRT-I complex subunit VPS28,0.0
K12183: ESCRT-I complex subunit TSG101,0.0
K12182: hepatocyte growth factor-regulated tyrosine kinase substrate,0.0
K12161: ubiquitin related modifier 1,0.0
K12160: small ubiquitin-related modifier,0.0
K12158: ubiquitin-like protein Nedd8,0.0
K12152: phosphatase NudJ [EC:3.6.1.-],0.0
K12151: multiple stress resistance protein BhsA,0.0
K12149: DNA-damage-inducible protein I,0.0
K12148: biofilm regulator BssS,0.0
K12147: acidic protein MsyB,0.0
K12272: signal recognition particle receptor subunit beta,0.0
K12270: accessory secretory protein Asp3,0.0
K12213: intracellular multiplication protein IcmK,0.0
K12203: defect in organelle trafficking protein DotB [EC:7.2.4.8],0.0
K12269: accessory secretory protein Asp2,0.0
K12261: 2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-],0.0
K12265: nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-],0.0
K12260: sulfiredoxin [EC:1.8.98.2],0.0
K12257: SecD/SecF fusion protein,0.0
K12256: putrescine---pyruvate transaminase [EC:2.6.1.113],0.0
K12255: guanidinobutyrase [EC:3.5.3.7],0.0
K12254: 4-guanidinobutyraldehyde dehydrogenase / NAD-dependent aldehyde dehydrogenase [EC:1.2.1.54 1.2.1.-],0.0
K12266: anaerobic nitric oxide reductase transcription regulator,0.0
K12253: 5-guanidino-2-oxopentanoate decarboxylase [EC:4.1.1.75],0.0
K12252: arginine:pyruvate transaminase [EC:2.6.1.84],0.0
K12251: N-carbamoylputrescine amidase [EC:3.5.1.53],0.0
"K12243: AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors",0.0
K12240: pyochelin synthetase,0.0
K12267: peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12],0.0
K12236: transcriptional repressor NF-X1,0.0
K12146: hydrogenase-4 transcriptional activator,0.0
K12234: coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34],0.0
K12268: accessory secretory protein Asp1,0.0
K12232: E3 ubiquitin-protein ligase HECTD2 [EC:2.3.2.26],0.0
K12218: intracellular multiplication protein IcmP,0.0
K12217: intracellular multiplication protein IcmO [EC:7.2.4.8],0.0
K12214: intracellular multiplication protein IcmL,0.0
K12262: superoxide oxidase [EC:1.10.3.17],0.0
K12209: intracellular multiplication protein IcmE,0.0
K12206: intracellular multiplication protein IcmB [EC:7.2.4.8],0.0
K12205: defect in organelle trafficking protein DotD,0.0
K12204: defect in organelle trafficking protein DotC,0.0
Age_at_collection,0.0
K12137: hydrogenase-4 component B [EC:1.-.-.-],0.0
K12145: hydrogenase-4 component J [EC:1.-.-.-],0.0
K11938: HMP-PP phosphatase [EC:3.6.1.-],0.0
K11932: universal stress protein G,0.0
K11933: NADH oxidoreductase Hcr [EC:1.-.-.-],0.0
K11934: outer membrane protein X,0.0
K11935: biofilm PGA synthesis protein PgaA,0.0
"K11936: poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]",0.0
K11937: biofilm PGA synthesis protein PgaD,0.0
K11939: inner membrane transporter RhtA,0.0
K11930: periplasmic protein TorT,0.0
K11940: heat shock protein HspQ,0.0
K11941: glucans biosynthesis protein C [EC:2.1.-.-],0.0
K11959: urea transport system substrate-binding protein,0.0
K11960: urea transport system permease protein,0.0
K11961: urea transport system permease protein,0.0
K11962: urea transport system ATP-binding protein,0.0
"K11931: poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]",0.0
K11929: outer membrane pore protein E,0.0
K11968: ariadne-1 [EC:2.3.2.31],0.0
K11919: type VI secretion system lysozyme-related protein,0.0
K11910: type VI secretion system protein VasJ,0.0
K11911: type VI secretion system protein VasL,0.0
K11912: serine/threonine-protein kinase PpkA [EC:2.7.11.1],0.0
K11913: type VI secretion system protein,0.0
K11915: serine/threonine protein phosphatase Stp1 [EC:3.1.3.16],0.0
K11918: type VI secretion system protein,0.0
K11920: AraC family transcriptional regulator,0.0
K11928: sodium/proline symporter,0.0
"K11921: LysR family transcriptional regulator, cyn operon transcriptional activator",0.0
"K11922: GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor",0.0
"K11924: DtxR family transcriptional regulator, manganese transport regulator",0.0
K11925: SgrR family transcriptional regulator,0.0
K11926: sigma factor-binding protein Crl,0.0
K11927: ATP-dependent RNA helicase RhlE [EC:3.6.4.13],0.0
K11963: urea transport system ATP-binding protein,0.0
K11971: E3 ubiquitin-protein ligase RNF14 [EC:2.3.2.31],0.0
K12144: hydrogenase-4 component I [EC:1.-.-.-],0.0
K12136: hydrogenase-4 component A [EC:1.-.-.-],0.0
K12072: conjugative transfer pilus assembly protein TraH,0.0
K12096: cag pathogenicity island protein 11,0.0
K12111: evolved beta-galactosidase subunit alpha [EC:3.2.1.23],0.0
K12112: evolved beta-galactosidase subunit beta,0.0
"K12113: LacI family transcriptional regulator, ebg operon repressor",0.0
K12132: eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1],0.0
K12274: translocation protein SEC72,0.0
K12070: conjugal transfer pilus assembly protein TraI,0.0
K12138: hydrogenase-4 component C [EC:1.-.-.-],0.0
K12139: hydrogenase-4 component D [EC:1.-.-.-],0.0
K12140: hydrogenase-4 component E [EC:1.-.-.-],0.0
K12141: hydrogenase-4 component F [EC:1.-.-.-],0.0
K12142: hydrogenase-4 component G [EC:1.-.-.-],0.0
K12143: hydrogenase-4 component H,0.0
K12071: conjugal transfer pilus assembly protein TraD,0.0
K12068: conjugal transfer pilus assembly protein TraL,0.0
K11979: E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27],0.0
K12059: conjugal transfer pilus assembly protein TrbC,0.0
K11991: tRNA(adenine34) deaminase [EC:3.5.4.33],0.0
K11996: adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11],0.0
K12055: chromosome partitioning related protein ParA,0.0
K12056: conjugal transfer mating pair stabilization protein TraG,0.0
K12057: conjugal transfer pilus assembly protein TraF,0.0
K12058: conjugal transfer mating pair stabilization protein TraN,0.0
K12060: conjugal transfer pilus assembly protein TraU,0.0
K12067: conjugal transfer pilus assembly protein TraE,0.0
K12061: conjugal transfer pilus assembly protein TraW,0.0
K12062: conjugal transfer pilin signal peptidase TrbI,0.0
K12063: conjugal transfer ATP-binding protein TraC,0.0
K12064: conjugal transfer pilus assembly protein TraV,0.0
K12065: conjugal transfer pilus assembly protein TraB,0.0
K12066: conjugal transfer pilus assembly protein TraK,0.0
K12273: translocation protein SEC66,0.0
"K12292: ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]",0.0
K12279: MSHA biogenesis protein MshI,0.0
K12281: MSHA biogenesis protein MshK,0.0
K12605: CCR4-NOT transcription complex subunit 2,0.0
K12606: CCR4-NOT transcription complex subunit 9,0.0
K12608: CCR4-NOT complex subunit CAF16,0.0
K12609: CCR4-NOT transcriptional complex subunit CAF120,0.0
K12612: mRNA-decapping enzyme subunit 1,0.0
K12614: ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.4.13],0.0
K12615: enhancer of mRNA-decapping protein 3,0.0
K12617: DNA topoisomerase 2-associated protein PAT1,0.0
K12619: 5'-3' exoribonuclease 2 [EC:3.1.13.-],0.0
K12620: U6 snRNA-associated Sm-like protein LSm1,0.0
K12621: U6 snRNA-associated Sm-like protein LSm2,0.0
K12622: U6 snRNA-associated Sm-like protein LSm3,0.0
K12625: U6 snRNA-associated Sm-like protein LSm6,0.0
K12626: U6 snRNA-associated Sm-like protein LSm7,0.0
K12627: U6 snRNA-associated Sm-like protein LSm8,0.0
K12603: CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4],0.0
K12601: superkiller protein 8,0.0
K12599: antiviral helicase SKI2 [EC:3.6.4.-],0.0
"K12583: phosphatidylinositol alpha 1,6-mannosyltransferase [EC:2.4.1.-]",0.0
K12572: PAB-dependent poly(A)-specific ribonuclease subunit 3,0.0
K12573: ribonuclease R [EC:3.1.13.1],0.0
K12574: ribonuclease J [EC:3.1.-.-],0.0
K12578: DNA damage checkpoint protein LCD1,0.0
K12580: CCR4-NOT transcription complex subunit 3,0.0
K12582: dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325],0.0
K12584: m7GpppX diphosphatase [EC:3.6.1.59],0.0
K12598: ATP-dependent RNA helicase DOB1 [EC:3.6.4.13],0.0
K12585: exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-],0.0
K12586: exosome complex component RRP43,0.0
K12589: exosome complex component RRP42,0.0
K12590: exosome complex component RRP46,0.0
K12592: exosome complex protein LRP1,0.0
K12597: protein AIR1/2,0.0
K12658: 4-hydroxyproline epimerase [EC:5.1.1.8],0.0
K12659: N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8],0.0
K12660: 2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53],0.0
K12815: pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13],0.0
K12771: sporulation-specific protein 1 [EC:2.7.11.1],0.0
K12784: translocated intimin receptor,0.0
K12789: Tir-cytoskeleton coupling protein,0.0
K12795: suppressor of G2 allele of SKP1,0.0
K12812: ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.4.13],0.0
K12814: pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 [EC:3.6.4.13],0.0
K12816: pre-mRNA-processing factor 17,0.0
K12767: serine/threonine-protein kinase RIM15 [EC:2.7.11.1],0.0
K12817: pre-mRNA-splicing factor 18,0.0
K12818: ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13],0.0
K12819: pre-mRNA-processing factor SLU7,0.0
K12820: pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13],0.0
K12821: pre-mRNA-processing factor 40,0.0
K12826: splicing factor 3A subunit 2,0.0
K12769: meiosis-specific transcription factor NDT80,0.0
K12766: serine/threonine-protein kinase MDS1/RIM11 [EC:2.7.11.1],0.0
K12662: U4/U6 small nuclear ribonucleoprotein PRP4,0.0
K12685: subtilase-type serine protease [EC:3.4.21.-],0.0
K12666: oligosaccharyltransferase complex subunit alpha (ribophorin I),0.0
K12668: oligosaccharyltransferase complex subunit epsilon,0.0
K12669: oligosaccharyltransferase complex subunit gamma,0.0
K12670: oligosaccharyltransferase complex subunit beta,0.0
K12678: autotransporter family porin,0.0
K12684: serine protease autotransporter [EC:3.4.21.-],0.0
K12686: outer membrane lipase/esterase,0.0
K12763: enhanced filamentous growth protein 1,0.0
K12687: antigen 43,0.0
K12700: non-specific riboncleoside hydrolase [EC:3.2.-.-],0.0
K12732: phenylpyruvate decarboxylase [EC:4.1.1.-],0.0
K12737: peptidyl-prolyl cis-trans isomerase SDCCAG10 [EC:5.2.1.8],0.0
K12761: carbon catabolite-derepressing protein kinase [EC:2.7.11.1],0.0
K12762: G protein-coupled receptor GPR1,0.0
K12562: amphiphysin,0.0
K12556: penicillin-binding protein 2X,0.0
K12555: penicillin-binding protein 2A [EC:2.4.1.129 3.4.16.4],0.0
K12369: dipeptide transport system permease protein,0.0
K12343: 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22],0.0
K12345: 3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94],0.0
K12346: metal iron transporter,0.0
K12349: neutral ceramidase [EC:3.5.1.23],0.0
K12351: sphingomyelin phosphodiesterase 2 [EC:3.1.4.12],0.0
K12368: dipeptide transport system substrate-binding protein,0.0
K12370: dipeptide transport system permease protein,0.0
K12340: outer membrane protein,0.0
K12371: dipeptide transport system ATP-binding protein,0.0
K12372: dipeptide transport system ATP-binding protein,0.0
K12373: hexosaminidase [EC:3.2.1.52],0.0
K12386: cystinosin,0.0
K12391: AP-1 complex subunit gamma-1,0.0
K12393: AP-1 complex subunit mu,0.0
K12342: adhesin YadB/C,0.0
K12339: S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144],0.0
K12396: AP-3 complex subunit delta,0.0
K12291: pilus assembly protein HofP,0.0
K12283: MSHA biogenesis protein MshM,0.0
K12284: MSHA biogenesis protein MshN,0.0
K12286: MSHA biogenesis protein MshP,0.0
K12288: pilus assembly protein HofM,0.0
K12289: pilus assembly protein HofN,0.0
K12290: pilus assembly protein HofO,0.0
K11906: type VI secretion system protein VasD,0.0
K12308: beta-galactosidase [EC:3.2.1.23],0.0
K12293: competence factor transport accessory protein ComB,0.0
"K12294: two-component system, LytTR family, sensor histidine kinase ComD [EC:2.7.13.3]",0.0
"K12295: two-component system, LytTR family, response regulator ComE",0.0
K12296: competence protein ComX,0.0
K12297: 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264],0.0
"K12299: MFS transporter, ACS family, probable galactarate transporter",0.0
K12394: AP-1 complex subunit sigma 1/2,0.0
K12398: AP-3 complex subunit mu,0.0
K12554: alanine adding enzyme [EC:2.3.2.-],0.0
K12529: putative selenate reductase FAD-binding subunit,0.0
K12511: tight adherence protein C,0.0
K12516: putative surface-exposed virulence protein,0.0
K12524: bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3],0.0
K12525: bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3],0.0
K12527: putative selenate reductase [EC:1.97.1.9],0.0
K12528: putative selenate reductase molybdopterin-binding subunit,0.0
"K12536: ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase",0.0
K12507: acyl-CoA synthetase [EC:6.2.1.-],0.0
"K12537: membrane fusion protein, protease secretion system",0.0
"K12538: outer membrane protein, protease secretion system",0.0
"K12541: ATP-binding cassette, subfamily C, bacterial LapB",0.0
"K12542: membrane fusion protein, adhesin transport system",0.0
"K12543: outer membrane protein, adhesin transport system",0.0
K12545: heme acquisition protein HasA,0.0
K12510: tight adherence protein B,0.0
"K12506: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]",0.0
K12410: NAD-dependent deacetylase [EC:3.5.1.-],0.0
K12462: Rho GDP-dissociation inhibitor,0.0
K12412: pheromone receptor transcription factor,0.0
K12415: competence-stimulating peptide,0.0
K12428: fatty acid CoA ligase FadD32,0.0
K12437: polyketide synthase 13,0.0
"K12452: CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]",0.0
K12453: CDP-paratose synthetase [EC:1.1.1.342],0.0
K12471: epsin,0.0
K12503: short-chain Z-isoprenyl diphosphate synthase [EC:2.5.1.68],0.0
K12472: epidermal growth factor receptor substrate 15,0.0
K12479: vacuolar protein sorting-associated protein 45,0.0
K12481: rabenosyn-5,0.0
K12486: stromal membrane-associated protein,0.0
K12493: ADP-ribosylation factor GTPase-activating protein 2/3,0.0
K12500: thioesterase III [EC:3.1.2.-],0.0
K11907: type VI secretion system protein VasG,0.0
K11894: type VI secretion system protein ImpI,0.0
K11905: type VI secretion system protein,0.0
K11366: ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12],0.0
K11344: chromatin modification-related protein EAF6,0.0
K11358: aspartate aminotransferase [EC:2.6.1.1],0.0
K11362: transcriptional coactivator HFI1/ADA1,0.0
K11363: SAGA-associated factor 11,0.0
K11364: SAGA-associated factor 29,0.0
K11365: SAGA-associated factor 73,0.0
K11368: enhancer of yellow 2 transcription factor,0.0
K11338: RuvB-like protein 2 [EC:3.6.4.12],0.0
K11369: retrograde regulation protein 2,0.0
K11370: ADA HAT complex component 1,0.0
K11372: HAT1-interacting factor 1,0.0
K11373: elongator complex protein 1,0.0
K11375: elongator complex protein 4,0.0
K11376: elongator complex protein 5,0.0
K11341: YEATS domain-containing protein 4,0.0
K11324: DNA methyltransferase 1-associated protein 1,0.0
K11380: NuA3 HAT complex component NTO1,0.0
K11303: histone acetyltransferase 1 [EC:2.3.1.48],0.0
K11271: sister chromatid cohesion protein DCC1,0.0
K11272: mediator of replication checkpoint protein 1,0.0
K11273: chromosome transmission fidelity protein 1 [EC:3.6.4.13],0.0
K11279: nucleosome assembly protein 1-like 1,0.0
K11292: transcription elongation factor SPT6,0.0
K11293: protein HIRA/HIR1,0.0
K11304: histone acetyltransferase HTATIP [EC:2.3.1.48],0.0
K11322: enhancer of polycomb-like protein,0.0
K11309: regulator of Ty1 transposition protein 109,0.0
"K11311: anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]",0.0
K11312: cupin 2 domain-containing protein,0.0
K11314: transcriptional adapter 2-alpha,0.0
K11315: transcriptional adapter 3,0.0
K11321: bromodomain-containing protein 8,0.0
K11377: elongator complex protein 6,0.0
K11381: 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],0.0
K11269: chromosome transmission fidelity protein 18,0.0
K11495: histone H3-like centromeric protein A,0.0
"K11475: GntR family transcriptional regulator, vanillate catabolism transcriptional regulator",0.0
"K11476: GntR family transcriptional regulator, gluconate operon transcriptional repressor",0.0
K11477: glc operon protein GlcG,0.0
K11482: histone deacetylase HOS1 [EC:3.5.1.98],0.0
K11483: histone deacetylase HOS2 [EC:3.5.1.98],0.0
K11484: histone deacetylase HOS3 [EC:3.5.1.98],0.0
K11501: centromere protein I,0.0
K11473: glycolate oxidase iron-sulfur subunit,0.0
"K11527: two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]",0.0
K11529: glycerate 2-kinase [EC:2.7.1.165],0.0
"K11530: (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]",0.0
K11531: lsr operon transcriptional repressor,0.0
"K11533: fatty acid synthase, bacteria type [EC:2.3.1.-]",0.0
"K11534: DeoR family transcriptional regulator, deoxyribose operon repressor",0.0
"K11474: GntR family transcriptional regulator, glc operon transcriptional activator",0.0
K11472: glycolate oxidase FAD binding subunit,0.0
"K11382: MFS transporter, OPA family, phosphoglycerate transporter protein",0.0
K11401: histone acetyltransferase SAS2 [EC:2.3.1.48],0.0
"K11383: two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]",0.0
"K11384: two-component system, NtrC family, response regulator AlgB",0.0
K11387: arabinosyltransferase C [EC:2.4.2.-],0.0
K11391: 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174],0.0
K11392: 16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178],0.0
K11396: chromatin modification-related protein YNG2,0.0
K11407: histone deacetylase 6 [EC:3.5.1.98],0.0
"K11444: two-component system, chemotaxis family, response regulator WspR [EC:2.7.7.65]",0.0
K11422: [histone H3]-lysine4 N-trimethyltransferase SETD1 [EC:2.1.1.354],0.0
K11423: [histone H3]-dimethyl-L-lysine36 N-methyltransferase [EC:2.1.1.358],0.0
K11426: [histone H3]-lysine4/36 N-trimethyltransferase SMYD [EC:2.1.1.354 2.1.1.357],0.0
K11427: [histone H3]-lysine79 N-trimethyltransferase [EC:2.1.1.360],0.0
K11434: type I protein arginine methyltransferase [EC:2.1.1.319],0.0
K11442: putative uridylyltransferase [EC:2.7.7.-],0.0
K11270: chromosome transmission fidelity protein 8,0.0
K11268: N-acetyltransferase [EC:2.3.1.-],0.0
K11904: type VI secretion system secreted protein VgrG,0.0
K11177: xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4],0.0
K11137: telomere length regulation protein,0.0
K11139: hemolysin E,0.0
K11144: primosomal protein DnaI,0.0
K11145: ribonuclease III family protein [EC:3.1.26.-],0.0
K11175: phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],0.0
K11176: IMP cyclohydrolase [EC:3.5.4.10],0.0
K11178: xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4],0.0
K11134: telomere length regulation protein,0.0
K11179: tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-],0.0
K11180: dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5],0.0
K11181: dissimilatory sulfite reductase beta subunit [EC:1.8.99.5],0.0
K11183: multiphosphoryl transfer protein [EC:2.7.1.202],0.0
K11184: catabolite repression HPr-like protein,0.0
K11192: N-acetylmuramic acid PTS system EIICB component [EC:2.7.1.192],0.0
K11135: Pin2-interacting protein X1,0.0
K11133: telomere replication protein,0.0
K11201: fructose-like PTS system EIIA component [EC:2.7.1.-],0.0
K11105: cell volume regulation protein A,0.0
K11095: U1 small nuclear ribonucleoprotein C,0.0
