feature,importance
Sex=M,19.58759
Constipation=Y,15.546034
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,11.508063
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,9.699966
humann_KO_group_counts::K03930: putative tributyrin esterase [EC:3.1.1.-],8.654663
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,8.1920395
humann_KO_group_counts::K17680: twinkle protein [EC:3.6.4.12],8.152045
humann_KO_group_counts::K01783: ribulose-phosphate 3-epimerase [EC:5.1.3.1],7.718053
humann_KO_group_counts::K15584: nickel transport system substrate-binding protein,5.9705567
metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,4.9709907
