feature,importance
PWY-7199: pyrimidine deoxyribonucleosides salvage,38.05927182142414
k__Bacteria,23.247150981983943
K07574: RNA-binding protein,6.310379535165414
K02902: large subunit ribosomal protein L28,6.032669683575017
K02026: multiple sugar transport system permease protein,5.453937840273867
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,4.905014506675347
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,4.333325280373226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58,4.17446890498211
K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],3.7499511594498802
K11535: nucleoside transport protein,3.733830286097064
