feature,importance
k__Bacteria,19.731596771056488
PWY-5695: inosine 5'-phosphate degradation,13.136350091115357
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),10.50116474228632
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),9.428085309407667
PWY-5686: UMP biosynthesis I,8.62728443476312
PANTO-PWY: phosphopantothenate biosynthesis I,8.390790098089914
NONMEVIPP-PWY: methylerythritol phosphate pathway I,8.370010129361168
UNMAPPED.1,7.982299993486026
k__Bacteria|p__Bacteroidetes,6.95535922131088
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,6.877059209123053
