feature,n_folds_selected
Sex=M,5
Constipation=Y,5
humann_pathway_counts::PWY-6892: thiazole component of thiamine diphosphate biosynthesis I,2
"humann_KO_group_counts::K03407: two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",2
humann_KO_group_counts::K06880: erythromycin esterase [EC:3.1.1.-],2
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella,1
metaphlan_rel_ab::k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,1
humann_KO_group_counts::K14742: tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,1
humann_KO_group_counts::K05997: Fe-S cluster assembly protein SufA,1
humann_KO_group_counts::K05895: precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],1
"humann_KO_group_counts::K01040: glutaconate CoA-transferase, subunit B [EC:2.8.3.12]",1
humann_KO_group_counts::K10538: L-arabinose transport system permease protein,1
humann_pathway_counts::METH-ACETATE-PWY: methanogenesis from acetate,1
humann_KO_group_counts::K22116: gamma-polyglutamate biosynthesis protein CapC,1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,1
humann_KO_group_counts::K21498: antitoxin HigA-1,1
humann_KO_group_counts::K03230: type III secretion protein V,1
humann_KO_group_counts::K03238: translation initiation factor 2 subunit 2,1
humann_KO_group_counts::K17218: sulfide:quinone oxidoreductase [EC:1.8.5.4],1
humann_KO_group_counts::K00768: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],1
"humann_KO_group_counts::K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]",1
humann_KO_group_counts::K01995: branched-chain amino acid transport system ATP-binding protein,1
"humann_KO_group_counts::K07481: transposase, IS5 family",1
humann_KO_group_counts::K00138: aldehyde dehydrogenase [EC:1.2.1.-],1
humann_KO_group_counts::K00823: 4-aminobutyrate aminotransferase [EC:2.6.1.19],1
metaphlan_rel_ab::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas,1
Probiotic=Y,1
humann_KO_group_counts::K08372: putative serine protease PepD [EC:3.4.21.-],1
humann_KO_group_counts::K02806: nitrogen PTS system EIIA component [EC:2.7.1.-],1
humann_KO_group_counts::K00574: cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],1
humann_KO_group_counts::K05368: aquacobalamin reductase / NAD(P)H-flavin reductase [EC:1.16.1.3 1.5.1.41],1
humann_KO_group_counts::K07019: uncharacterized protein,1
humann_KO_group_counts::K00040: fructuronate reductase [EC:1.1.1.57],1
humann_KO_group_counts::K06975: uncharacterized protein,1
humann_KO_group_counts::K07277: outer membrane protein insertion porin family,1
humann_KO_group_counts::K00795: farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],1
humann_KO_group_counts::K20904: (R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167],1
"humann_KO_group_counts::K12452: CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]",1
humann_KO_group_counts::K06385: stage II sporulation protein P,1
