feature,n_folds_selected
Sex=M,5
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,5
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,5
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia,5
Constipation=Y,5
metaphlan_counts::k__Bacteria|p__Firmicutes,4
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,4
metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,4
humann_pathway_counts::PWY-6892: thiazole component of thiamine diphosphate biosynthesis I,4
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,3
humann_KO_group_counts::K10541: methyl-galactoside transport system permease protein,3
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,3
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,2
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,2
humann_KO_group_counts::K02045: sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3],2
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,2
humann_KO_group_counts::K07726: putative transcriptional regulator,2
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,2
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,2
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,2
humann_KO_group_counts::K03608: cell division topological specificity factor,2
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_299,1
humann_KO_group_counts::K06023: HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-],1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter,1
humann_KO_group_counts::K06403: stage V sporulation protein AA,1
metaphlan_rel_ab::k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,1
"humann_KO_group_counts::K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]",1
humann_KO_group_counts::K06374: spore maturation protein B,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia,1
humann_KO_group_counts::K10439: ribose transport system substrate-binding protein,1
humann_KO_group_counts::K00703: starch synthase [EC:2.4.1.21],1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae,1
"humann_KO_group_counts::K04794: peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]",1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,1
humann_pathway_counts::THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans,1
humann_KO_group_counts::K05942: citrate (Re)-synthase [EC:2.3.3.3],1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,1
humann_KO_group_counts::K02389: flagellar basal-body rod modification protein FlgD,1
humann_KO_group_counts::K02203: phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39],1
humann_KO_group_counts::K21472: peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-],1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales,1
humann_KO_group_counts::K04751: nitrogen regulatory protein P-II 1,1
humann_KO_group_counts::K09692: teichoic acid transport system permease protein,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,1
humann_KO_group_counts::K20460: lantibiotic transport system permease protein,1
humann_KO_group_counts::K07284: sortase A [EC:3.4.22.70],1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,1
