feature,mean_gini_across_folds,n_folds_selected
humann_pathway_counts::PWY-6892: thiazole component of thiamine diphosphate biosynthesis I,0.10834420145507487,2
Sex=M,0.10285292540383226,5
Constipation=Y,0.1023778533384814,5
humann_KO_group_counts::K02048: sulfate/thiosulfate transport system substrate-binding protein,0.08698518326677221,1
"humann_KO_group_counts::K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]",0.08331323679116563,1
metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0.08181593480230118,1
humann_KO_group_counts::K06880: erythromycin esterase [EC:3.1.1.-],0.08109415448872365,2
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.07091583157123467,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,0.0684544695880683,1
humann_KO_group_counts::K00138: aldehyde dehydrogenase [EC:1.2.1.-],0.06695043508333044,1
humann_KO_group_counts::K02242: competence protein ComFC,0.06693607146623501,1
humann_KO_group_counts::K02986: small subunit ribosomal protein S4,0.06643991922261967,1
humann_KO_group_counts::K06385: stage II sporulation protein P,0.06330410860592667,1
humann_pathway_counts::PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis,0.06318150986425398,1
"humann_KO_group_counts::K12452: CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]",0.06253161461022644,1
humann_KO_group_counts::K02796: mannose PTS system EIID component,0.06071317389955366,1
humann_KO_group_counts::K09807: uncharacterized protein,0.0596675116526601,1
humann_KO_group_counts::K10538: L-arabinose transport system permease protein,0.05863743109614839,1
humann_KO_group_counts::K21498: antitoxin HigA-1,0.058261632953973984,1
humann_KO_group_counts::K22116: gamma-polyglutamate biosynthesis protein CapC,0.057511407424621644,1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0.05589608277019081,1
"humann_KO_group_counts::K18012: L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]",0.055775768776430465,1
metaphlan_rel_ab::k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.052342779504235666,1
humann_KO_group_counts::K03304: tellurite resistance protein,0.05143743691582196,1
"humann_KO_group_counts::K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]",0.05097629433096544,1
humann_KO_group_counts::K07571: S1 RNA binding domain protein,0.05093676959754113,1
humann_pathway_counts::POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,0.04972534785811851,1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,0.04865702402014384,1
"humann_KO_group_counts::K01040: glutaconate CoA-transferase, subunit B [EC:2.8.3.12]",0.047943284888513536,1
humann_KO_group_counts::K06393: stage III sporulation protein AD,0.046657591423656795,1
"humann_KO_group_counts::K01007: pyruvate, water dikinase [EC:2.7.9.2]",0.04648472282567224,1
humann_pathway_counts::PWY-7316: dTDP-N-acetylviosamine biosynthesis,0.04613723387892367,1
"humann_KO_group_counts::K08222: MFS transporter, YQGE family, putative transporter",0.045773718836955225,1
humann_KO_group_counts::K06975: uncharacterized protein,0.0448222357970252,1
humann_pathway_counts::METH-ACETATE-PWY: methanogenesis from acetate,0.04400366271146819,1
humann_KO_group_counts::K00728: dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109],0.04296219190795048,1
humann_KO_group_counts::K21473: peptidoglycan DL-endopeptidase RipA [EC:3.4.-.-],0.042877738775356875,1
humann_pathway_counts::7ALPHADEHYDROX-PWY,0.04251650496015483,1
humann_KO_group_counts::K01821: 4-oxalocrotonate tautomerase [EC:5.3.2.6],0.042427143794770444,1
humann_KO_group_counts::K19064: lysine 6-dehydrogenase [EC:1.4.1.18],0.04129741127416515,1
humann_KO_group_counts::K05895: precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],0.04128908966798887,1
metaphlan_rel_ab::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas,0.04111773082104126,1
humann_KO_group_counts::K09786: uncharacterized protein,0.0403304410256988,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,0.04022691503054806,1
humann_KO_group_counts::K00795: farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],0.039784763832699944,1
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,0.039469525011002315,1
humann_KO_group_counts::K05997: Fe-S cluster assembly protein SufA,0.03941553795936387,1
humann_KO_group_counts::K00574: cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],0.03926380302263178,1
humann_KO_group_counts::K02806: nitrogen PTS system EIIA component [EC:2.7.1.-],0.039230739463158214,1
"humann_KO_group_counts::K03407: two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",0.039174252285724534,2
humann_KO_group_counts::K00040: fructuronate reductase [EC:1.1.1.57],0.03911819194478969,1
humann_KO_group_counts::K07019: uncharacterized protein,0.039089208653588274,1
humann_KO_group_counts::K04047: starvation-inducible DNA-binding protein,0.03852879971930589,1
metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,0.03804332561190136,1
humann_KO_group_counts::K01995: branched-chain amino acid transport system ATP-binding protein,0.03789230702914256,1
humann_KO_group_counts::K14742: tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,0.037117798451081256,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,0.036932340990928146,1
humann_KO_group_counts::K09974: uncharacterized protein,0.03669802997902318,1
humann_KO_group_counts::K20904: (R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167],0.03633571048586202,1
humann_KO_group_counts::K03706: transcriptional pleiotropic repressor,0.03585269546492152,1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0.03462426089310588,1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella,0.034139349612892625,1
humann_KO_group_counts::K03610: septum site-determining protein MinC,0.03299876652367067,1
humann_KO_group_counts::K14534: 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3],0.032627001009161084,1
humann_KO_group_counts::K07277: outer membrane protein insertion porin family,0.03227822432648017,1
"humann_pathway_counts::PWY-7385: 1,3-propanediol biosynthesis (engineered)",0.03213020363842674,1
humann_KO_group_counts::K07455: recombination protein RecT,0.0317713050618337,1
"humann_KO_group_counts::K07481: transposase, IS5 family",0.03169034448799043,1
humann_KO_group_counts::K09004: uncharacterized protein,0.029909739480162616,1
humann_KO_group_counts::K08372: putative serine protease PepD [EC:3.4.21.-],0.029812076264384417,1
humann_KO_group_counts::K00823: 4-aminobutyrate aminotransferase [EC:2.6.1.19],0.028626918097759368,1
humann_KO_group_counts::K03399: cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289],0.028565200833379642,1
humann_KO_group_counts::K07742: uncharacterized protein,0.027566333040698967,1
humann_KO_group_counts::K05368: aquacobalamin reductase / NAD(P)H-flavin reductase [EC:1.16.1.3 1.5.1.41],0.0265021849532203,1
humann_KO_group_counts::K11179: tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-],0.026251369434601206,1
humann_KO_group_counts::K06919: putative DNA primase/helicase,0.02590442823717803,1
humann_KO_group_counts::K02598: nitrite transporter,0.0258777967385383,1
humann_KO_group_counts::K03230: type III secretion protein V,0.02401451689006787,1
humann_KO_group_counts::K01308: g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11],0.023899173402849656,1
humann_KO_group_counts::K09955: uncharacterized protein,0.02368277671201866,1
humann_KO_group_counts::K17218: sulfide:quinone oxidoreductase [EC:1.8.5.4],0.02322461957689891,1
Probiotic=Y,0.02290073032500388,1
humann_KO_group_counts::K03188: urease accessory protein,0.022058882596297107,1
humann_KO_group_counts::K02116: ATP synthase protein I,0.02022861101489475,1
humann_KO_group_counts::K02263: cytochrome c oxidase subunit 4,0.01987746364508684,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,0.019419637743748042,1
humann_KO_group_counts::K03238: translation initiation factor 2 subunit 2,0.019179768048604873,1
humann_KO_group_counts::K00768: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],0.01728716299845111,1
"humann_KO_group_counts::K08369: MFS transporter, putative metabolite:H+ symporter",0.008564673330150256,1
