pd_rank,healthy_rank,feature_clean,rwbc_pd,rwbc_healthy,delta_rwbc,delta_direction
1,275,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale,1.2489276324892764,1.197359372851052,0.0515682596382243,higher_in_PD
2,280,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pyruviciproducens,1.244776532447765,1.1966717095310135,0.0481048229167515,higher_in_PD
3,294,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_curvus,1.244776532447765,1.1951588502269288,0.0496176822208362,higher_in_PD
4,199,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Paraclostridium|s__Paraclostridium_bifermentans,1.244084682440847,1.2078118553156374,0.0362728271252095,higher_in_PD
5,67,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fuchuensis,1.2439463124394632,1.220464860404346,0.0234814520351172,higher_in_PD
6,151,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gastricus,1.2438079424380797,1.2119378352358685,0.0318701072022111,higher_in_PD
7,329,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_acidaminiphila,1.2432544624325446,1.1896575436666208,0.0535969187659237,higher_in_PD
8,304,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis,1.2424242424242424,1.1943336542428826,0.0480905881813598,higher_in_PD
9,436,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava,1.242147502421475,1.158712694264888,0.0834348081565869,higher_in_PD
10,434,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_sp_oral_taxon_110,1.2418707624187075,1.1596754229129418,0.0821953395057657,higher_in_PD
11,390,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_paucivorans,1.2402103224021033,1.1754916792738277,0.0647186431282755,higher_in_PD
12,336,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides,1.2391033623910337,1.1871819557144825,0.0519214066765512,higher_in_PD
13,206,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum,1.238411512384115,1.2067115940035755,0.0316999183805395,higher_in_PD
14,29,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter,1.2381347723813476,1.2276165589327466,0.010518213448601,higher_in_PD
15,190,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum,1.237581292375813,1.2083619859716683,0.0292193064041446,higher_in_PD
16,40,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale,1.236612702366127,1.2256911016366387,0.0109216007294883,higher_in_PD
17,224,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_saerimneri,1.2363359623633596,1.2042360060514372,0.0320999563119224,higher_in_PD
18,181,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei,1.236197592361976,1.2086370512996836,0.0275605410622923,higher_in_PD
19,77,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_sp_An194,1.2359208523592085,1.2188144684362536,0.0171063839229548,higher_in_PD
20,276,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,1.2357824823578247,1.1970843075230366,0.0386981748347881,higher_in_PD
