shared_feature_raw,shared_feature_clean,xg_only_feature_raw,xg_only_feature_clean,network_only_feature_raw,network_only_feature_clean
,,Constipation=Y,Constipation=Y,humann_KO_group_counts::K06295: spore germination protein KA,K06295: spore germination protein KA
,,Day_of_stool_collection_digestion_issue=Y,Day_of_stool_collection_digestion_issue=Y,humann_KO_group_counts::K18205: non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185],K18205: non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185]
,,Sex=M,Sex=M,"humann_KO_group_counts::K19355: mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]","K19355: mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
,,humann_KO_group_counts::K01783: ribulose-phosphate 3-epimerase [EC:5.1.3.1],K01783: ribulose-phosphate 3-epimerase [EC:5.1.3.1],humann_pathway_counts::PWY-5101: L-isoleucine biosynthesis II,PWY-5101: L-isoleucine biosynthesis II
,,humann_KO_group_counts::K02574: ferredoxin-type protein NapH,K02574: ferredoxin-type protein NapH,humann_pathway_counts::PWY-622: starch biosynthesis,PWY-622: starch biosynthesis
,,humann_KO_group_counts::K03930: putative tributyrin esterase [EC:3.1.1.-],K03930: putative tributyrin esterase [EC:3.1.1.-],metaphlan_counts::k__Archaea,k__Archaea
,,humann_KO_group_counts::K05593: aminoglycoside 6-adenylyltransferase [EC:2.7.7.-],K05593: aminoglycoside 6-adenylyltransferase [EC:2.7.7.-],metaphlan_counts::k__Archaea|p__Euryarchaeota,k__Archaea|p__Euryarchaeota
,,humann_KO_group_counts::K06910: phosphatidylethanolamine-binding protein,K06910: phosphatidylethanolamine-binding protein,metaphlan_counts::k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanobacteria
,,humann_KO_group_counts::K07006: uncharacterized protein,K07006: uncharacterized protein,metaphlan_counts::k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales
,,humann_KO_group_counts::K08717: urea transporter,K08717: urea transporter,metaphlan_counts::k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae
,,humann_KO_group_counts::K09775: uncharacterized protein,K09775: uncharacterized protein,metaphlan_counts::k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter
,,humann_KO_group_counts::K10541: methyl-galactoside transport system permease protein,K10541: methyl-galactoside transport system permease protein,metaphlan_counts::k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii
,,humann_KO_group_counts::K15584: nickel transport system substrate-binding protein,K15584: nickel transport system substrate-binding protein,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus
,,humann_KO_group_counts::K17680: twinkle protein [EC:3.6.4.12],K17680: twinkle protein [EC:3.6.4.12],metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans
,,metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena
,,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae
,,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter
,,metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20
